id,question,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty,category
1,"A drain pipe can drain a tank in 12 hours, and a fill pipe can fill the same tank in 6 hours. A total of n pipes – which include a few fill pipes and the remaining drain pipes – can fill the entire tank in 2 hours. How many of the following values could 'n' take? a.24 b.16 c.33 d.13 e.9 f.8",3,4,2,1,A,"Let number of fill pipes = x, drain pipes = n-x. Work rate: Fill pipe = 1/6 per hour, Drain pipe = -1/12 per hour. Combined rate: x/6 - (n-x)/12 = 1/2. Solving: (2x - n + x)/12 = 1/2 => (3x - n)/12 = 1/2 => 3x - n = 6 => 3x = n + 6. x must be integer ≤ n. Check which n values satisfy this.",Hard,Pipes and Cisterns
2,"Pipe A, B and C are kept open and together fill a tank in t minutes. Pipe A is kept open throughout, pipe B is kept open for the first 10 minutes and then closed. Two minutes after pipe B is closed, pipe C is opened and is kept open till the tank is full. Each pipe fills an equal share of the tank. Furthermore, it is known that if pipe A and B are kept open continuously, the tank would be filled completely in t minutes. How long will it take C alone to fill the tank?",18,36,27,24,D,"Let work = 3 units. Each pipe does 1 unit. A works for t min, B for 10 min, C for (t-12) min. A+B fill in t min: 1/t rate. Solve equations to get C's time.",Hard,Pipes and Cisterns
3,"Pipe A fills a tank at the rate of 100lit/min, Pipe B fills at the rate of 25 lit/min, pipe C drains at the rate of 50 lit/min. The three pipes are kept open for one minute each, one after the other. If the capacity of the tank is 7000 liters, how long will it take to fill the tank if: 1.A is kept open first, followed by B and then C. 2.B first, followed by A, and then C. 3.B first, followed by C, and then A.","279.25 mins, 280 mins and 280 mins","280 mins, 280 mins and 279.25 mins","279 mins, 280 mins and 279.25 mins","277 mins, 277 mins 45 sec and 279 mins",D,Calculate net filling in each 3-minute cycle for each sequence. For sequence 1: A+B+C = 100+25-50=75L in 3 min. Adjust for partial cycles.,Hard,Pipes and Cisterns
4,"4 men and 6 women complete a task in 24 days. If the women are at least half as efficient as the men, but not more efficient than the men, what is the range of the number of days for 6 women and 2 men to complete the same task?",30 to 33.6 days,32 to 35 days,33.6 to 35 days,30 to 35 days,A,"Let man's efficiency = m, woman's = w. Given: 4m+6w = 1/24, and 0.5m ≤ w ≤ m. Find range for 2m+6w.",Medium,Time and Work
5,"A fill pipe can fill a tank in 20 hours, a drain pipe can drain a tank in 30 hours. If a system of n pipes (fill pipes and drain pipes put together) can fill the tank in exactly 5 hours, which of the following are possible values of n? 1.32 2.54 3.29 4.40",1 and 2,1 and 3,2 and 4,2 and 3,D,"Let fill pipes = x, drain pipes = n-x. Rate: x/20 - (n-x)/30 = 1/5. Solve: (3x - 2n + 2x)/60 = 1/5 => (5x - 2n)/60 = 1/5 => 5x - 2n = 12 => 5x = 2n+12. x must be integer ≤ n.",Hard,Pipes and Cisterns
6,"Consider three friends A, B and C who work at differing speeds. When the slowest two work together they take n days to finish a task. When the quickest two work together they take m days to finish a task. One of them, if he worked alone would take thrice as much time as it would take when all three work together. How much time would it take if all three worked together?",3mn²/(m+n),2mn/(m+n),4mn/3(m+n),5mn/3(m+n),C,"Let times be a<b<c. Slowest two: b+c = n, Quickest two: a+b = m. One takes thrice combined time. Solve using work equations.",Hard,Time and Work
7,"Pipes A, B and C can fill a tank in 30, 60 and 120 minutes respectively. Pipes B and C are kept open for 10 minutes, and then Pipe B is shut while Pipe A is opened. Pipe C is closed 10 minutes before the tank overflows. How long does it take to fill the tank?",40 minutes,28 minutes,30 minutes,36 minutes,C,"Let total time = t minutes. Work done: B&C for 10 min, then A&C for (t-20) min, then A for last 10 min. Equation: 10(1/60+1/120) + (t-20)(1/30+1/120) + 10(1/30) = 1",Medium,Pipes and Cisterns
8,B takes 12 more days than A to finish a task. B and A start this task and A leaves the task 12 days before the task is finished. B completes 60% of the overall task. How long would B have taken to finish the task if he had worked independently?,48 days,36 days,28 days,32 days,B,"Let A take x days, B take x+12 days. B works full time, A works (total time - 12). B does 60% work. Set up equation and solve.",Hard,Time and Work
9,"A and B together can finish a task in 12 days. If A worked half as efficiently as he usually does and B works thrice as efficiently as he usually does, the task gets completed in 9 days. How long would A take to finish the task if he worked independently?",12 days,24 days,27 days,18 days,D,"Let A's time = a, B's time = b. 1/a + 1/b = 1/12. (1/2a) + (3/b) = 1/9. Solve simultaneously.",Medium,Time and Work
10,"B takes 12 more hours than A to complete a task. If they work together, they take 16 fewer hours than B would take to complete the task. How long will it take A and B together to complete a task twice as difficult as the first one?",16 hrs,12 hrs,14 hrs,18 hrs,A,"Let A take x hrs, B take x+12 hrs. Together: 1/x + 1/(x+12) = 1/(x+12-16) = 1/(x-4). Solve for x, then find time for double work.",Hard,Time and Work
